1|Afghanistan
2|Albania
3|Algeria
4|Andorra
5|Angola
6|Antigua and Barbuda
7|Argentina
8|Armenia
9|Australia
10|Austria
11|Azerbaijan
12|Bahamas
13|Bahrain
14|Bangladesh
15|Barbados
16|Belarus
17|Belgium
18|Belize
19|Benin
20|Bhutan
21|Bolivia
22|Bosnia and Herzegovina
23|Botswana
24|Brazil
25|Brunei Darussalam
26|Bulgaria
27|Burkina Faso
28|Burundi
29|Cabo Verde
30|Cambodia
31|Cameroon
32|Canada
33|Central African Republic
34|Chad
35|Chile
36|China
37|Colombia
38|Comoros
39|Congo
40|Costa Rica
41|C̫te d'Ivoire
42|Croatia
43|Cuba
44|Cyprus
45|Czech Republic
46|Democratic Republic of the Congo
47|Denmark
48|Djibouti
49|Dominica
50|Dominican Republic
51|Ecuador
52|Egypt
53|El Salvador
54|Equatorial Guinea
55|Eritrea
56|Estonia
57|Eswatini
58|Ethiopia
59|Fiji
60|Finland
61|France
62|Gabon
63|Gambia
64|Georgia
65|Germany
66|Ghana
67|Greece
68|Grenada
69|Guatemala
70|Guinea
71|Guinea-Bissau
72|Guyana
73|Haiti
74|Honduras
75|Hungary
76|Iceland
77|India
78|Indonesia
79|Iran
80|Iraq
81|Ireland
82|Israel
83|Italy
84|Jamaica
85|Japan
86|Jordan
87|Kazakhstan
88|Kenya
89|Kiribati
90|Kuwait
91|Kyrgyzstan
92|Laos
93|Latvia
94|Lebanon
95|Lesotho
96|Liberia
97|Libya
98|Liechtenstein
99|Lithuania
100|Luxembourg
101|Madagascar
102|Malawi
103|Malaysia
104|Maldives
105|Mali
106|Malta
107|Marshall Islands
108|Mauritania
109|Mauritius
110|Mexico
111|Micronesia
112|Moldova
113|Monaco
114|Mongolia
115|Montenegro
116|Morocco
117|Mozambique
118|Myanmar
119|Namibia
120|Nauru
121|Nepal
122|Netherlands
123|New Zealand
124|Nicaragua
125|Niger
126|Nigeria
127|North Korea
128|North Macedonia
129|Norway
130|Oman
131|Pakistan
132|Palau
133|Panama
134|Papua New Guinea
135|Paraguay
136|Peru
137|Philippines
138|Poland
139|Portugal
140|Qatar
141|Republic of Korea
142|Republic of Moldova
143|Romania
144|Russian Federation
145|Rwanda
146|Saint Kitts and Nevis
147|Saint Lucia
148|Saint Vincent and the Grenadines
149|Samoa
150|San Marino
151|Sao Tome and Principe
152|Saudi Arabia
153|Senegal
154|Serbia
155|Seychelles
156|Sierra Leone
157|Singapore
158|Slovakia
159|Slovenia
160|Solomon Islands
161|Somalia
162|South Africa
163|South Sudan
164|Spain
165|Sri Lanka
166|Sudan
167|Suriname
168|Sweden
169|Switzerland
170|Syrian Arab Republic
171|Tajikistan
172|Thailand
173|Timor-Leste
174|Togo
175|Tonga
176|Trinidad and Tobago
177|Tunisia
178|Turkey
179|Turkmenistan
180|Tuvalu
181|Uganda
182|Ukraine
183|United Arab Emirates
184|United Kingdom
185|United Republic of Tanzania
186|United States of America
187|Uruguay
188|Uzbekistan
189|Vanuatu
190|Venezuela
191|Vietnam
192|Yemen
193|Zambia
194|Zimbabwe